timestamp,sensor_00,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,sensor_50,sensor_51,machine_status
2018-08-14 02:02:00,2.45162,49.001735687255895,52.17014,44.4878463745117,635.995361328125,61.23647,14.677370000000002,16.6522,15.70457,15.08247,50.25954,59.61682,37.20971,21.672,419.0649,,464.7704,463.0723,2.542857,668.0202,398.696,884.132,535.0524,1092.198,629.2108,753.4846,851.1279,479.8195,709.1489999999999,578.9792,764.3519,979.1666,919.9544,499.3691,205.7719,529.2072,820.4025,0.003451958,44.27083,33.59375,111.1979,32.8125,35.416664123535206,61.71875,40.50926,44.56018,65.10416,45.13889,343.4606,56.42361,,207.1759,NORMAL
2018-06-16 03:37:00,2.475232,48.35069,48.4809,41.7100677490234,645.4861,78.35096999999998,13.46933,15.91435,14.96672,14.85822,52.41995,37.5361,22.18847,0.07057723,419.9254,,465.1036,464.2433,2.566954,663.4474,398.3099,882.0433,502.869,979.4805,598.8608,744.6959,897.9559,451.0741,1009.951,712.5259,635.1852,830.7291,825.6162,498.3676,354.3533,524.9007,851.691,54.19591,46.09375,33.85416,46.61458,36.71875,35.41666,39.32291,39.35185,36.16898,38.77315,40.79861,78.41435,53.24074,169.2708,210.0694,NORMAL
2018-08-08 21:28:00,2.5076970000000003,47.13541,51.73611,43.793399810790994,626.851806640625,60.88638,15.38628,16.6522,15.69734,15.43692,52.39384,49.84291,36.47459,13.92447,419.2436,,462.6421,460.0516,2.507287,663.7886,398.3673,877.9456,532.2515,1087.385,625.9751,748.4217,940.0031,469.1243,448.5578,570.2582,727.3148,823.4374,895.5462,492.778,225.2182,548.5524,835.0988,44.30439000000001,64.32291,30.46875,54.42708,36.71875,32.8125,39.58333,72.91666,38.19444,50.34722,73.78472,184.3171,50.63657,,188.3681,NORMAL
2018-05-14 18:26:00,2.48507,47.7864570617676,52.82118000000001,42.83854,633.7963,70.28688000000001,13.12211,15.661170000000002,15.11863,15.08247,47.90305,37.39479,32.40139,2.016175,36.92254000000001,,0.0,0.0,0.0,0.0,71.4431,139.6302,0.0,95.67306,0.0,0.0,117.389,273.5086,102.3857,109.8544,131.9444,180.2083,154.1518,82.59306,65.99416,106.2103,96.43645,94.27723,64.32291,35.15625,49.73958,41.40625,37.5,42.70833,37.32639,37.61574172973629,42.534721374511705,52.662036895752,63.94676,45.138889312744105,150.463,161.16899999999995,NORMAL
2018-08-28 08:25:00,2.5076970000000003,50.1302070617676,50.78125,44.704860687255895,646.5278,70.42169,15.0897,16.6522,15.617770000000002,15.11863,45.6274,44.65332,35.49883,10.81388,419.7345,,464.705,457.5448,2.474543,675.3135,405.1772,895.9512,541.081,1109.016,609.6442,699.9075,798.7360000000001,801.8791,810.9081,515.3893,685.6481,849.4791,618.4756,509.326,249.1347,530.3963,676.6998,0.0,46.09375,31.77083,93.48958,31.77083,32.8125,47.91666,48.03241,50.34722,57.87037,48.32176,309.6065,56.13426,,223.3796,NORMAL
2018-05-02 10:44:00,2.453588,45.22569,50.86805,43.88021,625.8102,76.83851,13.35359,16.31221,15.29224,14.85822,47.44883,49.73757,36.36829,2.460208,36.56372,,31.88537,0.0,0.0,0.0,56.70687,127.0943,0.0,62.53994,48.39969,0.0,81.95541,339.6833,70.5864,49.94155,109.2593,136.4583,118.115,51.78691,60.97828000000001,72.20416999999998,82.75617,131.752,60.15625,36.4583320617676,57.8125,40.3645820617676,37.5,44.2708320617676,40.798610687255895,39.35185,41.08796,43.40278,57.87037,50.9259262084961,160.8796,195.8912,NORMAL
2018-05-12 20:36:00,2.504745,49.34896,53.2552070617676,45.3993034362793,637.1528,75.60991,13.288479999999998,15.71181,15.41522,15.16927,45.42936,40.94698,29.40933,1.90745,39.29845,,31.88538,0.0,0.0,0.0,69.43101999999999,133.6837,0.0,83.84291999999998,0.0,0.0,112.74493408203101,320.5583,75.88601,76.70414,106.4815,148.4375,128.4174,62.74423,66.58633,101.5799,81.62946,79.16405,50.52083,33.85416,71.61458,35.41666,33.85416,53.90625,40.21991,39.0625,62.5,40.21991,60.76389,44.56018,160.3009,168.9815,NORMAL
2018-07-08 01:42:00,0.791956,44.01041412353521,51.95312118530271,44.4444427490234,161.20657348632798,38.29008,12.51447,13.65017,13.10764,12.62297,22.49761,8.641934,4.839152,4.0761330000000005,420.3084,,464.6019,459.3889,2.510459,665.8723,399.7623,884.6365,533.6026,1091.894,629.5846,761.0802,951.4558,529.3857,1046.521,559.6216,708.3333,1021.354,974.2608,532.1053,287.0617,590.8799,628.8783,54.67609,36.45833,28.90625,47.13541,28.90625,30.4687480926514,36.71875,33.85417,99.53703,126.4468,42.24537,190.9722,38.77315,243.3449,97.51157,NORMAL
2018-05-04 01:28:00,2.456539,46.09375,51.6927070617676,44.2274284362793,628.9352,85.21621999999998,13.32465,16.34115,15.18374,14.85822,44.59758,48.33312,38.39785,1.744289,40.901649475097706,,47.34526,0.0,0.0,0.0,64.25506999999999,132.755,0.0,93.88957,0.0,0.0,85.76762,353.6111,91.41977,75.53987,118.5185,118.2292,135.5127,57.76651,62.51921,69.11411,90.72989,93.77449,57.29166,36.19791,50.78125,37.5,34.375,38.28125,41.08796,36.1689796447754,41.95602,53.24074,135.70600000000002,54.97685,237.8472,219.9074,NORMAL
2018-06-19 02:47:00,2.40735,48.56771,49.3489570617676,41.31944,623.9583,76.26632,13.64294,16.06626,15.625,15.05353,46.31865,38.7487,26.35256,4.815724,419.8418,,459.6441,407.3358,1.969856,664.7251,398.1469,880.1077,503.8019,978.0842,600.685,751.525,900.9409,453.2962,1005.249,2.546609,278.2407,830.2083,793.1252,497.4683,314.3786,552.9166,749.1611,76.84814,52.60416,40.10416,70.57291,37.76041,35.15625,44.27083,47.74306,36.16898,40.798610687255895,51.79398,59.89583,46.2963,163.1944,183.4491,NORMAL
